c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
15,BOYACA,15776,SUTAMARCHAN,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SUTAMARCHÁN BOYACÁ,CARRERA 6 # 3-14,3108800483,Lunes a Viernes 8:00 A.M.-12:30 P.M. Y 2:00 P.M. - 06:00 A.M.,-73619910,5620674,"5°37'14.4""N 73°37'11.7""W",Directorio Comisarias Ley 2126
15,BOYACA,15778,SUTATENZA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SUTATENZA BOYACÁ,CARRERA 4 # 4-34,3126719601,Lunes a Viernes 8:00 AM A 01:00 PM Y DE 02:00 PM A 05:00 PM,-73452105,5022184,"5°01'19.9""N 73°27'07.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15790,TASCO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TASCO BOYACÁ,Carrera 5# 5 A 51 Palacio municipal PARQUE principal TASCO,3204896874,Lunes a Viernes de 8.00 a.m. a 12.30 p.m. y de 2.00p.m. a 5.30 p.m. Con disponibilidad sábados y domingos.,-72782356,5910171,"5°54'36.6""N 72°46'56.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15798,TENZA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TENZA,CALLE 5 # 5 - 57 PALACIO MUNICIPAL,3178557912,"LUNES A VIERNES DE 8 - 12 Y 2 - 5, SABADO DE 8 - 12",-73419995,5076401,"5°04'35.0""N 73°25'12.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15804,TIBANA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TIBANÁ BOYACÁ,Carrera 5 #6-17,3212006392,"7:30 - 12:00 Y 1:30 - 5:30 LUNES, MIERCOLES, JUEVES Y VIERNES, 7:30 - 2:30 MARTES",-73397087,5317749,"5°19'03.9""N 73°23'49.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15808,TINJACA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TINJACÁ BOYACÁ,Carrera 3 # 4-24 segundo piso,3208537811,Lunes a Viernes 08: 00 am - 12: 00pm y 01-00pm - 05:00pm,-73646383,5579388,"5°34'45.8""N 73°38'47.0""W",Directorio Comisarias Ley 2126
15,BOYACA,15810,TIPACOQUE,Municipio,6,1,1,COMISARÍA DE FAMILIA  DE TIPACOQUE BOYACÁ,"Carrera 3 calle 8 esquina, segundo piso",3204551591 wasap,7:30 a 12:30 de lunes a viernes y 2:00 a 6:00 p.m. de lunes a jueves y viernes de 2:00 a 5:00,-72691227,6434439,"6°26'04.0""N 72°41'28.4""W",Directorio Comisarias Ley 2126
15,BOYACA,15814,TOCA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TOCA BOYACÁ,Calle 5 N° 7-38 TOCA,3203057405,MARTES A SABADO,-73184349,5564486,"5°33'52.2""N 73°11'03.7""W",Directorio Comisarias Ley 2126
15,BOYACA,15816,TOGUI,Municipio,6,1,1,COMISARIA ÚNICA - TOGUI BOYACA,CALLE 3 Nº 3-23,3124320528,Lunes a Viernes 8 A.M. a 12 P.M. y de 1 P.M. a 5:00 P.M.,-73521351,5365326,"5°21'55.2""N 73°31'16.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15820,TOPAGA,Municipio,6,1,0,COMISARÍA DE FAMILIA DE TÓPAGA BOYACÁ,Calle 4 # 4-65,3124354039,Lunes a Viernes 08:00 A. M. - 12:00 M. 01:00 P. M. - 05:00 P. M.,-72832450,5768507,"5°46'06.6""N 72°49'56.8""W",Directorio Comisarias Ley 2126
15,BOYACA,15822,TOTA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE TOTA BOYACÁ,Calle 4 # 3-72 Palacio municipal parque principal,3108763959,Lunes a Viernes 8 A.M. a 12 P.M. y de 1 P.M. a 5:00 P.M.,-72986179,5561192,"5°33'40.3""N 72°59'10.2""W",Directorio Comisarias Ley 2126
